icao,iata,latitude,longitude,name
ENGM,OSL,60.1939,11.1004,Oslo Gardermoen
ENBR,BGO,60.2934,5.2181,Bergen Flesland
ENVA,TRD,63.4578,10.9240,Trondheim Vaernes
ENZV,SVG,58.8767,5.6378,Stavanger Sola
ENBO,BOO,67.2692,14.3653,Bodo
ENTC,TOS,69.6833,18.9189,Tromso
ENSB,LYR,78.2461,15.4656,Svalbard Longyear
ESSA,ARN,59.6519,17.9186,Stockholm Arlanda
ESGG,GOT,57.6628,12.2798,Goteborg Landvetter
EKCH,CPH,55.6181,12.6561,Copenhagen Kastrup
EKBI,BLL,55.7403,9.1518,Billund
EFHK,HEL,60.3172,24.9633,Helsinki Vantaa
BIKF,KEF,63.9850,-22.6056,Keflavik
EGLL,LHR,51.4775,-0.4614,London Heathrow
EGKK,LGW,51.1481,-0.1903,London Gatwick
EGCC,MAN,53.3537,-2.2750,Manchester
EGPH,EDI,55.9500,-3.3725,Edinburgh
EIDW,DUB,53.4213,-6.2701,Dublin
EHAM,AMS,52.3086,4.7639,Amsterdam Schiphol
EBBR,BRU,50.9014,4.4844,Brussels
EDDF,FRA,50.0379,8.5622,Frankfurt
EDDM,MUC,48.3538,11.7861,Munich
EDDB,BER,52.3667,13.5033,Berlin Brandenburg
LFPG,CDG,49.0097,2.5479,Paris Charles de Gaulle
LFPO,ORY,48.7233,2.3794,Paris Orly
LSZH,ZRH,47.4647,8.5492,Zurich
LOWW,VIE,48.1103,16.5697,Vienna
LEMD,MAD,40.4719,-3.5626,Madrid Barajas
LEBL,BCN,41.2971,2.0785,Barcelona
LEPA,PMI,39.5517,2.7388,Palma de Mallorca
LPPT,LIS,38.7742,-9.1342,Lisbon
LIRF,FCO,41.8003,12.2389,Rome Fiumicino
LIMC,MXP,45.6306,8.7281,Milan Malpensa
LGAV,ATH,37.9364,23.9445,Athens
LTFM,IST,41.2753,28.7519,Istanbul
UUEE,SVO,55.9726,37.4146,Moscow Sheremetyevo
KJFK,JFK,40.6413,-73.7781,New York Kennedy
KLAX,LAX,33.9425,-118.4081,Los Angeles
KORD,ORD,41.9742,-87.9073,Chicago O Hare
KATL,ATL,33.6407,-84.4277,Atlanta
KSFO,SFO,37.6213,-122.3790,San Francisco
PANC,ANC,61.1744,-149.9963,Anchorage
CYYZ,YYZ,43.6777,-79.6248,Toronto Pearson
OMDB,DXB,25.2532,55.3657,Dubai
OTHH,DOH,25.2731,51.6081,Doha Hamad
VHHH,HKG,22.3080,113.9185,Hong Kong
RJTT,HND,35.5533,139.7811,Tokyo Haneda
WSSS,SIN,1.3644,103.9915,Singapore Changi
YSSY,SYD,-33.9461,151.1772,Sydney
NZAA,AKL,-37.0082,174.7850,Auckland
FAOR,JNB,-26.1392,28.2460,Johannesburg
SBGR,GRU,-23.4356,-46.4731,Sao Paulo Guarulhos
