Flight,Departure Date,Block off,Arrival Date,Block on,Tail Number,Model,Total Flight Time,Landing
XY1001-20240115-OSL-BGO,2024-01-15,08:00:00,2024-01-15,08:55:00,SEXAA,32N,55,TRUE
XY1002-20240115-BGO-OSL,2024-01-15,10:30:00,2024-01-15,11:25:00,SEXAA,32N,55,FALSE
XY4001-20240210-OSL-LHR,2024-02-10,14:20:00,2024-02-10,15:35:00,SEXAB,320,135,TRUE
XY4002-20240210-LHR-OSL,2024-02-10,17:05:00,2024-02-10,20:20:00,SEXAB,320,135,FALSE
XY4700-20240118-OSL-LPA,2024-01-18,09:40:00,2024-01-18,14:05:00,SEXAC,32N,325,FALSE
XY4701-20240118-LPA-OSL,2024-01-18,15:10:00,2024-01-18,21:30:00,SEXAC,32N,320,TRUE
XY1780-20240220-ARN-TLL,2024-02-20,06:15:00,2024-02-20,08:25:00,SEXAD,32N,70,TRUE
XY1474-20240711-CPH-OSL,2024-07-12,00:10:00,2024-07-12,01:20:00,OYXAA,319,70,TRUE
XY4780-20240715-LPA-OSL,2024-07-15,22:40:00,2024-07-16,05:00:00,SEXAE,32N,320,FALSE
XY9160-20240301-OSL-OSL,2024-03-01,12:00:00,2024-03-01,13:10:00,SEXAF,32N,70,FALSE
XY0001-20240320-ABZ-FEA,2024-03-20,11:00:00,2024-03-20,11:40:00,N12345,ABC,40,true
XY0002-20240320-FEA-ZZZ,2024-03-20,13:00:00,2024-03-20,13:35:00,N12345,ABC,35,TRUE
SCHEDULED,2024-03-06,,2024-03-06,,SEXAG,32N,0,FALSE
XY1099-20240312-OSL-CPH,2024-03-12,10:00:00,2024-03-12,11:23:00,SEXAH,32N,60,TRUE
XY1003-20240115-OSL-TRD,2024-01-15,08:30:00,2024-01-15,09:30:00,SEXAI,32N,60,TRUE
