Date,Duty Type,Departure,Arrival,Aircraft ID,Aircraft Type,Duty Start,Duty End,Sched Out,Sched In,Out,In,Off,On,Pilot Flying,Day Takeoff,Night Takeoff,Day Landing,Night Landing,Total Block,PIC,SIC,PICUS,Relief Time,Night,X-Country,Dual Received,Dual Given,Instructor,Examiner,Actual Instrument,Simulated Instrument,IFR,Simulator,Flight Pay,Out Of Base,Pax,Fuel,Flight #,Autolands,Go Around,Daily Allowance,Crew PIC,Crew SIC,Crew First Officer,Crew Second Officer,Crew Purser,Crew Instructor,Crew Relief1,Crew Relief2,Crew Relief3,Crew Relief4,Crew Relief5,Crew Cabin Crew1,Crew Cabin Crew2,Crew Cabin Crew3,Crew Cabin Crew4,Crew Cabin Crew5,Crew Cabin Crew6,Crew Cabin Crew7,Crew Cabin Crew8,Crew Cabin Crew9,Crew Cabin Crew10,Crew Student,Crew Other1,Crew Other2,Crew Other3,Crew Other4,Crew Other5,Crew Other6,Crew Other7,Crew Other8,Crew Other9,Crew Other10,Notes1,Notes2,Notes3,Notes4,Notes5,Notes6,Notes7,Notes8,Notes9,Notes10,Optional Field1,Optional Field2,Optional Field3,Optional Field4,Optional Field5,Optional Field6,Optional Field7,Optional Field8,Optional Field9,Optional Field10,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,Approach7,Approach8,Approach9,Approach10,Remarks
2024-03-11,0,EKCH,EGLL,OY-XXA,A320,,,,,07:05,09:23,,,true,0,1,1,0,138,,,,,28,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,1,,,EU-XX123,A320-200-SIM,,,,,,,,,false,0,0,0,0,240,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,0,ENGM,ENTO,LN-XXZ,,,,,,10:00,11:00,,,true,1,0,1,0,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,0,EKCH,ESSA,OY-XXA,A320,,,,,,,,,false,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10,0,EKCH,EGLL,OY-XXA,A320,,,,,08:00,10:00,,,true,1,0,1,0,120,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10,0,EGLL,EKCH,OY-XXC,A319,,,,,09:00,11:00,,,false,1,0,1,0,120,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,0,ENGM,ENBR,OY-XXA,A320,,,,,06:00,09:00,,,true,1,0,1,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,0,ENBR,ENVA,OY-XXC,A319,,,,,07:00,10:00,,,false,1,0,1,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,0,ENVA,ENGM,OY-XXE,A320,,,,,08:00,11:00,,,true,1,0,1,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,0,EKCH,LEPA,OY-XXA,A320,,,,,22:30,01:15,,,true,0,1,0,1,165,,,,,165,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20,0,EKCH,GCLP,OY-XXC,A319,,,,,14:00,16:00,,,false,1,0,1,0,180,,,,,,180,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03,0,ENGM,ENGM,LN-XXD,C172,,,,,12:00,13:30,,,true,3,0,3,0,90,,,,,,,90,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,1,,,EU-XX456,FNPT II,,,,,,,,,false,0,0,0,0,120,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0,ENGM,ENKB,LN-XXB,PA28,,,,,09:00,09:55,,,true,1,0,1,0,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nav exercise, diverted for weather"
